"codconta";"codloja";"dtbaixa";"compt";"valor";"detalhe"
"00003";"00";2024-04-24;2024-04-24;1442.70;VENDAS                                                                                                                  
"00011";"00";2024-04-24;2024-04-24;3713.93;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;53.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;17.23;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;3.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;143.90;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;30.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;14.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;90.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;62.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;45.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;82.00;VENDAS                                                                                                                  
"00009";"00";2024-04-24;2024-04-24;74.59;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;74.95;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;155.00;VENDAS                                                                                                                  
"00010";"02";2024-04-24;2024-04-24;834.52;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;449.90;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;33.99;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;14.22;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;15.99;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;89.98;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;88.00;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;939.08;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;26.38;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;12.50;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;8.40;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;314.81;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;567.89;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;30.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;439.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;2010.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;1047.51;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;845.00;VENDAS                                                                                                                  
"00011";"00";2024-04-24;2024-04-24;191.56;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;14.50;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;1783.84;VENDAS                                                                                                                  
"00011";"00";2024-04-24;2024-04-24;12.49;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;73.83;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;29.79;VENDAS                                                                                                                  
"00009";"00";2024-04-24;2024-04-24;88.36;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;350.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;65.00;VENDAS                                                                                                                  
"00011";"02";2024-04-24;2024-04-24;45.67;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;68.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;23.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;109.99;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;280.00;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;90.09;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;164.65;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;21.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;11.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;224.95;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;17.32;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;84.98;VENDAS                                                                                                                  
"00011";"00";2024-04-24;2024-04-24;43.99;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;9.41;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;30.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;143.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;2.50;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;44.99;VENDAS                                                                                                                  
